[Games{iD=1, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Trebeusz', whitePlayerRating=2022, blackPlayerRating=2032, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=124, whitePlayerAccountName='PrastaryTopor', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=125, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=126, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=127, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=128, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=129, whitePlayerAccountName='Esmeralda', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=130, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=131, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=132, whitePlayerAccountName='Xman', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='E17', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=133, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Yeti', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=134, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B01', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=135, whitePlayerAccountName='Dran', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=136, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=BlackWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=137, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=138, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=139, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=140, whitePlayerAccountName='QuiProQuo', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=141, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='E21', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=142, whitePlayerAccountName='Damina', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=143, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Jarmulka', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=144, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=145, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
]
